Antigen,Antigen,Antigen,Antigen,Antigen
Antigen Name,Organism Name,# Epitopes,# Assays,# References
"Solute carrier family 12 member 2","Homo sapiens (human)","165","368","42"
"MHC class I polypeptide-related sequence A (UniProt:Q29983)","Homo sapiens (human)","70","86","9"
"Myosin-7","Homo sapiens (human)","163","303","31"
"Major blood-stage surface antigen Pv200","Plasmodium vivax (malaria parasite P. vivax)","87","368","2"
"ESX-1 secretion-associated protein EspJ","Mycobacterium tuberculosis","33","60","6"
"Uncharacterized PPE family protein PPE14","Mycobacterium tuberculosis","17","18","3"
"PPE family protein PPE55","Mycobacterium tuberculosis","120","141","16"
"Serine proteinase inhibitor 1","Vaccinia virus (vaccinia virus VV)","239","1732","19"
"Protein M2","Vaccinia virus (vaccinia virus VV)","35","96","14"
"Pen ch 18","Penicillium chrysogenum","43","203","4"
"Other Trypanosoma cruzi protein","Trypanosoma cruzi","9173","9281","24"
"Phosphate-binding protein PstS 1","Mycobacterium tuberculosis","78","219","24"
"Serine protease","Bacillus amyloliquefaciens","88","88","1"
"Genome polyprotein","Hepatitis C virus","7112","22898","456"
"Genome polyprotein","Dengue virus","8880","22474","131"
"Envelope protein H3","Vaccinia virus (vaccinia virus VV)","260","1594","26"
"Phosphoprotein 85","Human herpesvirus 5 (Human cytomegalovirus)","24","25","3"
"Latent membrane protein 2","Human herpesvirus 4 (Epstein Barr virus)","394","1322","162"
"Uncharacterized protein (UniProt:Q7AQA0)","Mycobacterium leprae","4","29","3"
"Apr","Bacillus licheniformis","88","88","1"
"Pru p 3","Prunus persica (peach)","62","155","8"
"Minor capsid protein VP1","Primate erythroparvovirus 1","296","390","10"
"Non-structural polyprotein pORF1","Orthohepevirus A","935","1134","4"
"Other Hepatitis C virus protein","Hepatitis C virus","92","243","23"
"6 kDa early secretory antigenic target","Mycobacterium tuberculosis","209","1950","53"
"Lol p 5","Lolium perenne (perennial ryegrass)","102","697","8"
"Protein ORF3","Orthohepevirus A","141","200","7"
"Spike glycoprotein","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","1056","3095","50"
"Replicase polyprotein 1ab","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","1608","8937","28"
